productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extAttack3,extUPC
83466,Aerodactyl,Aerodactyl,https://tcgplayer-cdn.tcgplayer.com/product/83466_200w.jpg,3,1389,https://cpt.tcgcsv.com/lpH,2022-11-27T18:16:47.817,1,15/64,Rare,Fighting,60.0,Stage 1,"<strong>Pokémon Power: Prehistoric Memory</strong> Whenever an Evolved Pokémon attacks <em>(even if it's your opponent's)</em>, it can use any attack from its Basic Pokémon card or any Evolution card attached to it. It still has to pay for that attack's Energy cost. This power stops working while Aerodactyl is Asleep, Confused, or Paralyzed.","[3] Fly (30)
<br>Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Aerodactyl. If tails, this attack does nothing <em>(not even damage)</em>.",G,F-30,2.0,7.85,11.88,13.27,16.22,,1st Edition,,,
83486,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/83486_200w.jpg,3,1389,https://cpt.tcgcsv.com/LpH,2025-02-05T21:03:42.733,1,41/64,Common,Colorless,40.0,Basic,,"[1] Grab
<br>Choose a Trainer card attached to 1 of your opponent's Pokémon. Your opponent shuffles that card into his or her deck.",F,P-30,,1.0,1.99,12.94,1.53,,1st Edition,[2] Tail Punch (20),,
83535,Ampharos,Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/83535_200w.jpg,3,1389,https://cpt.tcgcsv.com/KqH,2023-08-22T18:44:04.643,1,01/64,Holo Rare,Lightning,90.0,Stage 2,,"[L] Attract Current (20)
<br>Flip 3 coins. For each heads, you may search your deck for a Lightning Energy card and attach it to 1 of your Lightning Pokémon. Shuffle your deck afterward.",F,,3.0,80.46,219.95,219.99,93.95,,1st Edition Holofoil,"[1LLL] Gigavolt (40+)
<br>Flip a coin. If heads, this attack does 40 damage plus 20 more damage. If tails, this attack does 40 damage and the Defending Pokémon is now Paralyzed.",,
83707,Balloon Berry,Balloon Berry,https://tcgplayer-cdn.tcgplayer.com/product/83707_200w.jpg,3,1389,https://cpt.tcgcsv.com/9vH,2025-11-22T03:28:26.9,1,60/64,Uncommon,Tool,,,"Attach Balloon Berry to 1 of your Pokémon that doesn't have a Pokémon Tool attached to it.
<br>
When the Pokémon Balloon Berry is attached to retreats, discard Balloon Berry instead of discarding Energy cards.",,,,,0.45,1.04,4.99,1.01,1.54,1st Edition,,,
83918,Blissey,Blissey,https://tcgplayer-cdn.tcgplayer.com/product/83918_200w.jpg,3,1389,https://cpt.tcgcsv.com/nBH,2022-11-27T18:21:26.78,1,02/64,Holo Rare,Colorless,120.0,Stage 1,"<strong>Pokémon Power: Softboiled</strong> When you play Blissey from your hand, you may flip a coin. If heads, remove 8 damage counters from Blissey. If tails, remove 4 damage counters from Blissey. Either way, if Blissey has fewer damage counters than that, remove all of them.","[4] Body Slam (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",F,P-30,2.0,139.99,175.0,175.0,175.0,,1st Edition Holofoil,,,
84141,Celebi (3),Celebi 3,https://tcgplayer-cdn.tcgplayer.com/product/84141_200w.jpg,3,1389,https://cpt.tcgcsv.com/RGH,2022-11-27T18:24:35.05,1,03/64,Holo Rare,Psychic,50.0,Basic,"<strong>Pokémon Power: Time Travel</strong> If an opponent's attack would Knock Out Celebi, flip a coin. If heads, Celebi isn't Knocked Out and you shuffle it and all cards attached to it into your deck. This power doesn't work if Celebi is already Asleep, Confused, or Paralyzed.","[P] Psychic Damage
<br>Flip 3 coins. For each heads, put 1 damage counter on the Defending Pokémon.",P,,1.0,299.99,299.99,299.99,99.4,,1st Edition Holofoil,,,
84142,Celebi (16),Celebi 16,https://tcgplayer-cdn.tcgplayer.com/product/84142_200w.jpg,3,1389,https://cpt.tcgcsv.com/SGH,2022-11-27T18:23:06.65,1,16/64,Rare,Grass,50.0,Basic,,"[GG] Psychic Leaf (10+)
<br>Flip a coin for each Energy attached to the Defending Pokémon. This attack does 10 damage plus 10 more damage for each heads. Remove a number of damage counters from Celebi equal to the damage done to the Defending Pokémon <em>(after applying Weakness and Resistance)</em>. If Celebi has fewer damage counters than that, remove all of them.",R,,1.0,20.0,23.73,190.0,23.52,,1st Edition,,,
84299,Chinchou,Chinchou,https://tcgplayer-cdn.tcgplayer.com/product/84299_200w.jpg,3,1389,https://cpt.tcgcsv.com/_KH,2025-02-05T21:03:42.79,1,42/64,Common,Lightning,50.0,Basic,,"[L] Positive Ion (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 10 more damage. If tails, this attack does 10 damage.",F,,1.0,0.75,1.25,4.99,1.19,,1st Edition,"[W] Negative Ion (10)
<br>If the Defending Pokémon attacks Chinchou during your opponent's next turn, any damage done to Chinchou is reduced by 10 <em>(before applying Weakness and Resistance)</em>. <em>(Benching or evolving either Pokémon ends this effect.)</em>",,
84482,Crobat,Crobat,https://tcgplayer-cdn.tcgplayer.com/product/84482_200w.jpg,3,1389,https://cpt.tcgcsv.com/GPH,2022-11-27T18:27:08.563,1,04/64,Holo Rare,Grass,90.0,Stage 2,,"[G] Triggered Poison (20)
<br>If your opponent attaches an Energy card to the Defending Pokémon during his or her next turn, that Pokémon becomes Poisoned.",P,F-30,1.0,79.99,79.99,79.99,68.95,,1st Edition Holofoil,"[1GG] Cross Attack (20x)
<br>Flip 4 coins. This attack does 20 damage times the number of heads. If you get 2 or more heads, the Defending Pokémon is now Confused.",,
84745,Delibird,Delibird,https://tcgplayer-cdn.tcgplayer.com/product/84745_200w.jpg,3,1389,https://cpt.tcgcsv.com/WVH,2022-11-27T18:28:11.217,1,05/64,Holo Rare,Colorless,60.0,Basic,,"[2] Present
<br>Flip 3 coins. If exactly 1 is heads, this attack does 40 damage. If exactly 2 are heads, remove 3 damage counters from the Defending Pokémon. If the Defending Pokémon has fewer damage counters than that, remove all of them. If all 3 are heads, this attack does 60 damage. If all 3 are tails, remove all damage counters from the Defending Pokémon.",L,F-30,1.0,24.89,64.08,69.99,68.73,,1st Edition Holofoil,,,
