productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2
475444,Altaria,Altaria,https://tcgplayer-cdn.tcgplayer.com/product/475444_200w.jpg,3,17689,https://cpt.tcgcsv.com/VbQ5,2025-10-23T13:33:20.887,1,GG19/GG70,Ultra Rare,Dragon,90,Stage 1,"<strong>Ability — Tempting Tune</strong>
<br>
Once during your turn, you may search your deck for a Supporter card, reveal it, shuffle your deck, then put that card on top of it.",[WM] Glide (60),None,None,0,4.5,5.78,29.99,5.67,,Holofoil,
475445,Ditto,Ditto,https://tcgplayer-cdn.tcgplayer.com/product/475445_200w.jpg,3,17689,https://cpt.tcgcsv.com/WbQ5,2023-07-28T12:44:40.82,1,GG22/GG70,Ultra Rare,Normal,70,Basic,"<strong>Ability — Sudden Transformation</strong>
<br>
This Pokémon can use the attacks of any Basic Pokémon in your discard pile, except for Pokémon with a Rule Box <em>(Pokémon V, Pokémon-GX, etc. have Rule Boxes)</em>. <em>(You still need the necessary Energy to use each attack.)</em>",,Fx2,None,1,5.0,6.99,999.99,6.05,,Holofoil,
475643,Bibarel,Bibarel,https://tcgplayer-cdn.tcgplayer.com/product/475643_200w.jpg,3,17689,https://cpt.tcgcsv.com/TgQ5,2026-01-23T14:01:57.087,1,GG25/GG70,Ultra Rare,Colorless,120,Stage 1,"<strong>Ability — Industrious Incisors</strong>
<br>Once during your turn, you may draw cards until you have 5 cards in your hand.","[3] Tail Smash (100)
<br>
Flip a coin. If tails, this attack does nothing.",Fx2,None,2,1.15,2.15,19.99,1.95,2.16,Holofoil,
477049,Lapras,Lapras,https://tcgplayer-cdn.tcgplayer.com/product/477049_200w.jpg,3,17689,https://cpt.tcgcsv.com/_QQ5,2026-01-05T17:02:48.66,1,GG05/GG70,Ultra Rare,Water,130,Basic,,"[1WW] Raging Freeze (110)
<br>If any of your Pokémon were Knocked Out by damage from an attack from your opponent's Pokémon during their last turn, your opponent's Active Pokémon is now Paralyzed.",Lx2,None,2,11.0,15.81,510.04,14.43,18.74,Holofoil,
477050,Hisuian Zoroark VSTAR,Hisuian Zoroark VSTAR,https://tcgplayer-cdn.tcgplayer.com/product/477050_200w.jpg,3,17689,https://cpt.tcgcsv.com/0RQ5,2026-01-05T16:59:54.093,1,GG56/GG70,Ultra Rare,Colorless,270,VSTAR,"<span style=""color:gold""><strong>VSTAR Power</strong></span>
<br>
<strong>Ability — Phantom Star</strong>
<br>
During your turn, you may discard your hand and draw 7 cards. <em>(You can't use more than 1 VSTAR Power in a game.)</em>
<br><br>
<em>VSTAR rule — When your Pokémon VSTAR is Knocked Out, your opponent takes 2 Prize cards.</em>","[2] Ticking Curse (50x)
<br>
This attack does 50 damage for each of your Pokémon that has any damage counters on it.",Fx2,,2,26.94,31.99,100.0,29.47,31.98,Holofoil,
477052,Cynthia's Ambition,Cynthias Ambition,https://tcgplayer-cdn.tcgplayer.com/product/477052_200w.jpg,3,17689,https://cpt.tcgcsv.com/3RQ5,2025-12-03T15:07:51.84,1,GG60/GG70,Ultra Rare,Supporter,,,"Draw cards until you have 5 cards in your hand. If any of your Pokémon were Knocked Out during your opponent's last turn, draw cards until you have 8 cards in your hand instead.
<br><br>
You may play only 1 Supporter card during your turn.",,,,,15.0,19.21,94.99,17.6,21.73,Holofoil,
477056,Thievul,Thievul,https://tcgplayer-cdn.tcgplayer.com/product/477056_200w.jpg,3,17689,https://cpt.tcgcsv.com/8RQ5,2026-01-13T18:36:13.117,1,GG17/GG70,Ultra Rare,Darkness,100,Stage 1,"<strong>Ability — Baffling</strong>
<br>
If your opponent has 2 or fewer Prize cards remaining, whenever your opponent plays a Supporter card from their hand, prevent all effects of that card done to your Benched Pokémon V.",[1DD] Sharp Fang (110),Gx2,None,1,1.0,1.99,15.0,1.73,2.37,Holofoil,
477057,Mewtwo VSTAR,Mewtwo VSTAR,https://tcgplayer-cdn.tcgplayer.com/product/477057_200w.jpg,3,17689,https://cpt.tcgcsv.com/9RQ5,2026-01-13T18:15:09.8,1,GG44/GG70,Ultra Rare,Psychic,280,VSTAR,"<em>VSTAR rule — When your Pokémon VSTAR is Knocked Out, your opponent takes 2 Prize cards.</em>","[1P] Psy Purge (90x)
<br>
Discard up to 3 Psychic Energy from your Pokémon. This attack does 90 damage for each card you discarded in this way.",Dx2,F-30,2,152.31,195.7,500.0,178.13,194.94,Holofoil,"<span style=""color:gold""><strong>VSTAR Power</strong></span>
<br>
[1P] Star Raid
<br>
This attack does 120 damage to each of your opponent's Pokémon V. This damage isn't affected by Weakness or Resistance. <em>(You can't use more than 1 VSTAR Power in a game.)</em>"
477058,Gardenia's Vigor,Gardenias Vigor,https://tcgplayer-cdn.tcgplayer.com/product/477058_200w.jpg,3,17689,https://cpt.tcgcsv.com/bRQ5,2026-01-05T16:58:12.367,1,GG61/GG70,Ultra Rare,Supporter,,,"Draw 2 cards. If you drew any cards in this way, attach up to 2 Grass Energy cards from your hand to 1 of your Benched Pokémon.
<br><br>
You may play only 1 Supporter card during your turn.",,,,,8.48,10.66,50.0,10.19,14.13,Holofoil,
477059,Deoxys VSTAR,Deoxys VSTAR,https://tcgplayer-cdn.tcgplayer.com/product/477059_200w.jpg,3,17689,https://cpt.tcgcsv.com/cRQ5,2026-01-13T18:04:20.517,1,GG46/GG70,Ultra Rare,Psychic,270,VSTAR,"<em>VSTAR rule — When your Pokémon VSTAR is Knocked Out, your opponent takes 2 Prize cards.</em>","[1PP] Psychic Javelin (190)
<br>
This attack also does 60 damage to 1 of your opponent's Benched Pokémon V. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",Dx2,F-30,2,23.0,32.97,100.0,30.07,32.97,Holofoil,"<span style=""color:gold""><strong>VSTAR Power</strong></span>
<br>
[P] Star Force (60x)
<br>
This attack does 60 damage for each Energy attached to both Active Pokémon. <em>(You can't use more than 1 VSTAR Power in a game.)</em>"
