productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2
44418,Aerodactyl (1),Aerodactyl 1,https://tcgplayer-cdn.tcgplayer.com/product/44418_200w.jpg,3,630,https://cpt.tcgcsv.com/nNm,2025-12-10T23:10:52.66,1,01/62,Holo Rare,Fighting,60,Stage 1,"<strong>Pokémon Power: Prehistoric Power</strong> No more Evolution cards can be played. This power stops working while Aerodactyl is Asleep, Confused, or Paralyzed.",[3] Wing Attack (30),G,F-30,2,60.0,75.0,105.0,73.91,,1st Edition Holofoil,
44418,Aerodactyl (1),Aerodactyl 1,https://tcgplayer-cdn.tcgplayer.com/product/44418_200w.jpg,3,630,https://cpt.tcgcsv.com/nNm,2025-12-10T23:10:52.66,1,01/62,Holo Rare,Fighting,60,Stage 1,"<strong>Pokémon Power: Prehistoric Power</strong> No more Evolution cards can be played. This power stops working while Aerodactyl is Asleep, Confused, or Paralyzed.",[3] Wing Attack (30),G,F-30,2,15.14,20.0,599.8,29.36,64.99,Unlimited Holofoil,
44419,Lapras (10),Lapras 10,https://tcgplayer-cdn.tcgplayer.com/product/44419_200w.jpg,3,630,https://cpt.tcgcsv.com/pNm,2025-05-07T13:01:09.687,1,10/62,Holo Rare,Water,80,Basic,,"[W] Water Gun (10+)
<br>Does 10 damage plus 10 more damage for each Water Energy attached to Lapras but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.",L,,2,73.88,88.66,400.0,103.41,,1st Edition Holofoil,"[WW] Confuse Ray (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Confused."
44419,Lapras (10),Lapras 10,https://tcgplayer-cdn.tcgplayer.com/product/44419_200w.jpg,3,630,https://cpt.tcgcsv.com/pNm,2025-05-07T13:01:09.687,1,10/62,Holo Rare,Water,80,Basic,,"[W] Water Gun (10+)
<br>Does 10 damage plus 10 more damage for each Water Energy attached to Lapras but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.",L,,2,7.83,16.44,9999.0,17.31,,Unlimited Holofoil,"[WW] Confuse Ray (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Confused."
44420,Magneton (11),Magneton 11,https://tcgplayer-cdn.tcgplayer.com/product/44420_200w.jpg,3,630,https://cpt.tcgcsv.com/qNm,2022-12-10T15:24:53.1,1,11/62,Holo Rare,Lightning,80,Stage 1,,"[1L] Sonicboom (20)
<br>Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",F,,2,26.0,41.97,110.0,42.93,,1st Edition Holofoil,"[LLLL] Selfdestruct (100)
<br>Does 20 damage to each Pokémon on each player's Bench. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> Magneton does 100 damage to itself."
44420,Magneton (11),Magneton 11,https://tcgplayer-cdn.tcgplayer.com/product/44420_200w.jpg,3,630,https://cpt.tcgcsv.com/qNm,2022-12-10T15:24:53.1,1,11/62,Holo Rare,Lightning,80,Stage 1,,"[1L] Sonicboom (20)
<br>Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",F,,2,7.0,13.14,17.99,13.81,,Unlimited Holofoil,"[LLLL] Selfdestruct (100)
<br>Does 20 damage to each Pokémon on each player's Bench. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> Magneton does 100 damage to itself."
44421,Moltres (12),Moltres 12,https://tcgplayer-cdn.tcgplayer.com/product/44421_200w.jpg,3,630,https://cpt.tcgcsv.com/rNm,2022-11-18T16:16:47.313,1,12/62,Holo Rare,Fire,70,Basic,,"[R] Wildfire
<br>You may discard any number of Fire Energy cards attached to Moltres when you use this attack. If you do, discard that many cards from the top of your opponent's deck.",,F-30,2,100.47,175.99,375.98,143.81,,1st Edition Holofoil,"[RRRR] Dive Bomb (80)
<br>Flip a coin. If tails, this attack does nothing."
44421,Moltres (12),Moltres 12,https://tcgplayer-cdn.tcgplayer.com/product/44421_200w.jpg,3,630,https://cpt.tcgcsv.com/rNm,2022-11-18T16:16:47.313,1,12/62,Holo Rare,Fire,70,Basic,,"[R] Wildfire
<br>You may discard any number of Fire Energy cards attached to Moltres when you use this attack. If you do, discard that many cards from the top of your opponent's deck.",,F-30,2,31.99,49.95,9999.0,57.79,149.99,Unlimited Holofoil,"[RRRR] Dive Bomb (80)
<br>Flip a coin. If tails, this attack does nothing."
44422,Muk (13),Muk 13,https://tcgplayer-cdn.tcgplayer.com/product/44422_200w.jpg,3,630,https://cpt.tcgcsv.com/sNm,2023-06-29T16:24:08.817,1,13/62,Holo Rare,Grass,70,Stage 1,"<strong>Pokémon Power: Toxic Gas</strong> Ignore all Pokémon Powers other than Toxic Gasses. This power stops working while Muk is Asleep, Confused, or Paralyzed.","[GGG] Sludge (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned.",P,,2,18.95,35.89,30614.87,39.88,,1st Edition Holofoil,
44422,Muk (13),Muk 13,https://tcgplayer-cdn.tcgplayer.com/product/44422_200w.jpg,3,630,https://cpt.tcgcsv.com/sNm,2023-06-29T16:24:08.817,1,13/62,Holo Rare,Grass,70,Stage 1,"<strong>Pokémon Power: Toxic Gas</strong> Ignore all Pokémon Powers other than Toxic Gasses. This power stops working while Muk is Asleep, Confused, or Paralyzed.","[GGG] Sludge (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned.",P,,2,4.48,8.53,29.99,8.56,,Unlimited Holofoil,
44423,Raichu (14),Raichu 14,https://tcgplayer-cdn.tcgplayer.com/product/44423_200w.jpg,3,630,https://cpt.tcgcsv.com/tNm,2023-02-09T17:53:26.04,1,14/62,Holo Rare,Lightning,90,Stage 1,,"[LLLL] Gigashock (30)
<br>Choose 3 of your opponent's Benched Pokémon and this attack does 10 damage to each of them. <em>(Don't apply Weakness and Resistance for Benched Pokemon.)</em> If your opponent has fewer than 3 Benched Pokémon, do the damage to each of them.",F,,1,74.01,103.19,143.63,118.95,,1st Edition Holofoil,
44423,Raichu (14),Raichu 14,https://tcgplayer-cdn.tcgplayer.com/product/44423_200w.jpg,3,630,https://cpt.tcgcsv.com/tNm,2023-02-09T17:53:26.04,1,14/62,Holo Rare,Lightning,90,Stage 1,,"[LLLL] Gigashock (30)
<br>Choose 3 of your opponent's Benched Pokémon and this attack does 10 damage to each of them. <em>(Don't apply Weakness and Resistance for Benched Pokemon.)</em> If your opponent has fewer than 3 Benched Pokémon, do the damage to each of them.",F,,1,22.7,30.14,9999.0,36.16,,Unlimited Holofoil,
44424,Zapdos (15),Zapdos 15,https://tcgplayer-cdn.tcgplayer.com/product/44424_200w.jpg,3,630,https://cpt.tcgcsv.com/vNm,2025-12-08T17:23:07.01,1,15/62,Holo Rare,Lightning,80,Basic,,"[LLLL] Thunderstorm (40)
<br>For each of your opponent's Benched Pokémon, flip a coin. If heads, this attack does 20 damage to that Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> Then, Zapdos does 10 damage times the number of tails to itself.",,F-30,2,98.99,149.02,9999.0,116.47,,1st Edition Holofoil,
44424,Zapdos (15),Zapdos 15,https://tcgplayer-cdn.tcgplayer.com/product/44424_200w.jpg,3,630,https://cpt.tcgcsv.com/vNm,2025-12-08T17:23:07.01,1,15/62,Holo Rare,Lightning,80,Basic,,"[LLLL] Thunderstorm (40)
<br>For each of your opponent's Benched Pokémon, flip a coin. If heads, this attack does 20 damage to that Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> Then, Zapdos does 10 damage times the number of tails to itself.",,F-30,2,13.0,21.72,70.0,21.3,,Unlimited Holofoil,
