productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText
45120,Clefable (1),Clefable 1,https://tcgplayer-cdn.tcgplayer.com/product/45120_200w.jpg,3,635,https://cpt.tcgcsv.com/q3n,2023-11-27T18:49:46.257,1,01/64,Holo Rare,Colorless,70,Stage 1,"[1] Metronome
<br>
Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. <em>(No matter what type the Defending Pokémon is, Clefable's type is still Colorless.)</em>","[2] Minimize
<br>
All damage done by attacks to Clefable during your opponent's next turn is reduced by 20 <em>(after applying Weakness and Resistance)</em>.",F,P-30,2,47.0,67.49,124.99,77.26,,1st Edition Holofoil,
45120,Clefable (1),Clefable 1,https://tcgplayer-cdn.tcgplayer.com/product/45120_200w.jpg,3,635,https://cpt.tcgcsv.com/q3n,2023-11-27T18:49:46.257,1,01/64,Holo Rare,Colorless,70,Stage 1,"[1] Metronome
<br>
Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. <em>(No matter what type the Defending Pokémon is, Clefable's type is still Colorless.)</em>","[2] Minimize
<br>
All damage done by attacks to Clefable during your opponent's next turn is reduced by 20 <em>(after applying Weakness and Resistance)</em>.",F,P-30,2,14.03,28.73,64.99,30.13,,Unlimited Holofoil,
45121,Scyther (10),Scyther 10,https://tcgplayer-cdn.tcgplayer.com/product/45121_200w.jpg,3,635,https://cpt.tcgcsv.com/r3n,2025-12-10T22:19:02.663,1,10/64,Holo Rare,Grass,70,Basic,"[G] Swords Dance
<br>During your next turn, Scyther's Slash attack's base damage is 60 instead of 30.",[3] Slash (30),R,F-30,,62.8,78.0,130.0,111.99,,1st Edition Holofoil,
45121,Scyther (10),Scyther 10,https://tcgplayer-cdn.tcgplayer.com/product/45121_200w.jpg,3,635,https://cpt.tcgcsv.com/r3n,2025-12-10T22:19:02.663,1,10/64,Holo Rare,Grass,70,Basic,"[G] Swords Dance
<br>During your next turn, Scyther's Slash attack's base damage is 60 instead of 30.",[3] Slash (30),R,F-30,,23.2,37.43,9999.0,35.91,,Unlimited Holofoil,
45122,Snorlax (11),Snorlax 11,https://tcgplayer-cdn.tcgplayer.com/product/45122_200w.jpg,3,635,https://cpt.tcgcsv.com/s3n,2025-12-10T22:19:33.06,1,11/64,Holo Rare,Colorless,90,Basic,"[4] Body Slam (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,F,P-30,4,230.0,250.0,399.99,291.99,,1st Edition Holofoil,"<strong>Pokémon Power: Thick Skinned</strong>
<br>
Snorlax can't become Asleep, Confused, Paralyzed, or Poisoned. This power can't be used if Snorlax is already Asleep, Confused, or Paralyzed."
45122,Snorlax (11),Snorlax 11,https://tcgplayer-cdn.tcgplayer.com/product/45122_200w.jpg,3,635,https://cpt.tcgcsv.com/s3n,2025-12-10T22:19:33.06,1,11/64,Holo Rare,Colorless,90,Basic,"[4] Body Slam (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,F,P-30,4,65.0,77.47,219.99,89.08,,Unlimited Holofoil,"<strong>Pokémon Power: Thick Skinned</strong>
<br>
Snorlax can't become Asleep, Confused, Paralyzed, or Poisoned. This power can't be used if Snorlax is already Asleep, Confused, or Paralyzed."
45123,Vaporeon (12),Vaporeon 12,https://tcgplayer-cdn.tcgplayer.com/product/45123_200w.jpg,3,635,https://cpt.tcgcsv.com/t3n,2025-12-10T22:19:58.877,1,12/64,Holo Rare,Water,80,Stage 1,"[2] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.","[1WW] Water Gun (30+)
<br>Does 30 damage plus 10 more damage for each Water Energy attached to Vaporeon but not used to pay for this attack's Energy cost. Extra Water energy after the 2nd doesn't count.",L,,1,50.0,125.8,9999.0,239.19,239.98,1st Edition Holofoil,
45123,Vaporeon (12),Vaporeon 12,https://tcgplayer-cdn.tcgplayer.com/product/45123_200w.jpg,3,635,https://cpt.tcgcsv.com/t3n,2025-12-10T22:19:58.877,1,12/64,Holo Rare,Water,80,Stage 1,"[2] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.","[1WW] Water Gun (30+)
<br>Does 30 damage plus 10 more damage for each Water Energy attached to Vaporeon but not used to pay for this attack's Energy cost. Extra Water energy after the 2nd doesn't count.",L,,1,13.99,27.36,9999.0,30.81,,Unlimited Holofoil,
45124,Venomoth (13),Venomoth 13,https://tcgplayer-cdn.tcgplayer.com/product/45124_200w.jpg,3,635,https://cpt.tcgcsv.com/v3n,2025-12-10T22:20:31.317,1,13/64,Holo Rare,Grass,70,Stage 1,"[GG] Venom Powder (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Confused and Poisoned.",,R,F-30,,36.22,65.11,98.0,80.78,,1st Edition Holofoil,"<strong>Pokémon Power: Shift</strong> Once during your turn <em>(before your attack)</em>, you may change the type of Venomoth to the type of any other Pokémon in play other than Colorless. This power can't be used if Venomoth is Asleep, Confused, or Paralyzed."
45124,Venomoth (13),Venomoth 13,https://tcgplayer-cdn.tcgplayer.com/product/45124_200w.jpg,3,635,https://cpt.tcgcsv.com/v3n,2025-12-10T22:20:31.317,1,13/64,Holo Rare,Grass,70,Stage 1,"[GG] Venom Powder (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Confused and Poisoned.",,R,F-30,,14.0,20.45,34.0,22.01,,Unlimited Holofoil,"<strong>Pokémon Power: Shift</strong> Once during your turn <em>(before your attack)</em>, you may change the type of Venomoth to the type of any other Pokémon in play other than Colorless. This power can't be used if Venomoth is Asleep, Confused, or Paralyzed."
45125,Victreebel (14),Victreebel 14,https://tcgplayer-cdn.tcgplayer.com/product/45125_200w.jpg,3,635,https://cpt.tcgcsv.com/w3n,2025-12-10T22:21:40.05,1,14/64,Holo Rare,Grass,80,Stage 2,"[G] Lure
<br>If your opponent has any Benched Pokémon, choose 1 of them and switch it with his or her Active Pokémon.","[GG] Acid (20)
<br>Flip a coin. If heads, the Defending Pokémon can't retreat during your opponent's next turn.",R,,2,24.25,32.99,113.34,86.73,,1st Edition Holofoil,
45125,Victreebel (14),Victreebel 14,https://tcgplayer-cdn.tcgplayer.com/product/45125_200w.jpg,3,635,https://cpt.tcgcsv.com/w3n,2025-12-10T22:21:40.05,1,14/64,Holo Rare,Grass,80,Stage 2,"[G] Lure
<br>If your opponent has any Benched Pokémon, choose 1 of them and switch it with his or her Active Pokémon.","[GG] Acid (20)
<br>Flip a coin. If heads, the Defending Pokémon can't retreat during your opponent's next turn.",R,,2,13.5,22.45,399.6,24.98,,Unlimited Holofoil,
45126,Vileplume (15),Vileplume 15,https://tcgplayer-cdn.tcgplayer.com/product/45126_200w.jpg,3,635,https://cpt.tcgcsv.com/x3n,2024-12-28T02:27:31.617,1,15/64,Holo Rare,Grass,80,Stage 2,"[GGG] Petal Dance (40x)
<br>Flip 3 coins. This attack does 40 damage times the number of heads. Vileplume is now Confused <em>(after doing damage)</em>.",,R,,2,43.86,82.58,92.94,86.74,,1st Edition Holofoil,"<strong>Pokémon Power: Heal</strong> Once during your turn <em>(before your attack)</em>, you may flip a coin. If heads, remove 1 damage counter from 1 of your Pokémon. This power can't be used if Vileplume is Asleep, Confused, or Paralyzed."
45126,Vileplume (15),Vileplume 15,https://tcgplayer-cdn.tcgplayer.com/product/45126_200w.jpg,3,635,https://cpt.tcgcsv.com/x3n,2024-12-28T02:27:31.617,1,15/64,Holo Rare,Grass,80,Stage 2,"[GGG] Petal Dance (40x)
<br>Flip 3 coins. This attack does 40 damage times the number of heads. Vileplume is now Confused <em>(after doing damage)</em>.",,R,,2,16.99,24.2,63.97,25.45,,Unlimited Holofoil,"<strong>Pokémon Power: Heal</strong> Once during your turn <em>(before your attack)</em>, you may flip a coin. If heads, remove 1 damage counter from 1 of your Pokémon. This power can't be used if Vileplume is Asleep, Confused, or Paralyzed."
45127,Wigglytuff (16),Wigglytuff 16,https://tcgplayer-cdn.tcgplayer.com/product/45127_200w.jpg,3,635,https://cpt.tcgcsv.com/z3n,2025-03-14T14:43:02.387,1,16/64,Holo Rare,Colorless,80,Stage 1,"[1] Lullaby
<br>The Defending Pokémon is now Asleep.","[3] Do the Wave (10+)
<br>Does 10 damage plus 10 more damage for each of your Benched Pokémon.",F,P-30,2,39.99,53.78,90.0,73.17,52.22,1st Edition Holofoil,
45127,Wigglytuff (16),Wigglytuff 16,https://tcgplayer-cdn.tcgplayer.com/product/45127_200w.jpg,3,635,https://cpt.tcgcsv.com/z3n,2025-03-14T14:43:02.387,1,16/64,Holo Rare,Colorless,80,Stage 1,"[1] Lullaby
<br>The Defending Pokémon is now Asleep.","[3] Do the Wave (10+)
<br>Does 10 damage plus 10 more damage for each of your Benched Pokémon.",F,P-30,2,17.03,24.33,55.19,29.61,,Unlimited Holofoil,
45128,Electrode (2),Electrode 2,https://tcgplayer-cdn.tcgplayer.com/product/45128_200w.jpg,3,635,https://cpt.tcgcsv.com/B3n,2023-09-01T08:16:37.04,1,02/64,Holo Rare,Lightning,90,Stage 1,[2] Tackle (20),"[LLL] Chain Lightning (20)
<br>If the Defending Pokémon isn't Colorless, this attack does 10 damage to each Benched Pokémon of the same type as the Defending Pokémon <em>(including your own)</em>.",F,,1,33.99,57.5,99.0,51.91,,1st Edition Holofoil,
45128,Electrode (2),Electrode 2,https://tcgplayer-cdn.tcgplayer.com/product/45128_200w.jpg,3,635,https://cpt.tcgcsv.com/B3n,2023-09-01T08:16:37.04,1,02/64,Holo Rare,Lightning,90,Stage 1,[2] Tackle (20),"[LLL] Chain Lightning (20)
<br>If the Defending Pokémon isn't Colorless, this attack does 10 damage to each Benched Pokémon of the same type as the Defending Pokémon <em>(including your own)</em>.",F,,1,13.65,19.88,27.96,22.37,,Unlimited Holofoil,
