productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extResistance
83440,Abomasnow,Abomasnow,https://tcgplayer-cdn.tcgplayer.com/product/83440_200w.jpg,3,1368,https://cpt.tcgcsv.com/QnH,2023-09-25T18:28:40.61,1,19/123,Rare,Grass,100,Stage 1,"<strong>Poké-BODY — Glacier Snow</strong>
<br>
If Abomasnow is your Active Pokémon and is damaged by an opponent's attack <em>(even if Abomasnow is Knocked Out)</em>, the Attacking Pokémon is now Asleep.","[2W] Heavy Blizzard (60)
<br>
Flip a coin. If heads, put 1 damage counter on each of your opponent's Benched Pokémon.",R+30,3,0.45,0.65,9.99,0.64,,Normal,,
83440,Abomasnow,Abomasnow,https://tcgplayer-cdn.tcgplayer.com/product/83440_200w.jpg,3,1368,https://cpt.tcgcsv.com/QnH,2023-09-25T18:28:40.61,1,19/123,Rare,Grass,100,Stage 1,"<strong>Poké-BODY — Glacier Snow</strong>
<br>
If Abomasnow is your Active Pokémon and is damaged by an opponent's attack <em>(even if Abomasnow is Knocked Out)</em>, the Attacking Pokémon is now Asleep.","[2W] Heavy Blizzard (60)
<br>
Flip a coin. If heads, put 1 damage counter on each of your opponent's Benched Pokémon.",R+30,3,0.87,2.5,4.97,1.61,,Reverse Holofoil,,
83448,Abra,Abra,https://tcgplayer-cdn.tcgplayer.com/product/83448_200w.jpg,3,1368,https://cpt.tcgcsv.com/-nH,2023-09-25T18:32:19.217,1,69/123,Common,Psychic,50,Basic,,"[P] Play Search
<br>
Look at the top 5 cards of your deck, choose 1 of them, and put it into your hand. Put the 4 other cards back on top of your deck. Shuffle your deck afterward.",P+10,1,0.3,1.34,3.14,1.78,,Normal,"[1P] Ultra Evolution
<br>
Search your deck for Alakazam and put it onto Abra (this counts as evolving Abra). Shuffle your deck afterward.",
83448,Abra,Abra,https://tcgplayer-cdn.tcgplayer.com/product/83448_200w.jpg,3,1368,https://cpt.tcgcsv.com/-nH,2023-09-25T18:32:19.217,1,69/123,Common,Psychic,50,Basic,,"[P] Play Search
<br>
Look at the top 5 cards of your deck, choose 1 of them, and put it into your hand. Put the 4 other cards back on top of your deck. Shuffle your deck afterward.",P+10,1,4.68,5.99,15.5,13.42,,Reverse Holofoil,"[1P] Ultra Evolution
<br>
Search your deck for Alakazam and put it onto Abra (this counts as evolving Abra). Shuffle your deck afterward.",
83478,Aggron,Aggron,https://tcgplayer-cdn.tcgplayer.com/product/83478_200w.jpg,3,1368,https://cpt.tcgcsv.com/BpH,2025-12-10T23:02:06.33,1,1/123,Holo Rare,Metal,130,Stage 2,,"[2] Heap Up (40+)
<br>
Search your discard pile for all Energy cards and show them to your opponent. If you find any Metal Special Energy cards there, this attack does 40 damage plus 30 more damage. Put all of those Energy cards on top of your deck. Shuffle your deck afterward.",R+40,4,7.0,8.61,14.99,8.22,9.59,Holofoil,"[MMMM] Hard Metal (60+)
<br>
You may do 60 damage plus 40 more damage. If you do, Aggron does 40 damage to itself.",P-20
83478,Aggron,Aggron,https://tcgplayer-cdn.tcgplayer.com/product/83478_200w.jpg,3,1368,https://cpt.tcgcsv.com/BpH,2025-12-10T23:02:06.33,1,1/123,Holo Rare,Metal,130,Stage 2,,"[2] Heap Up (40+)
<br>
Search your discard pile for all Energy cards and show them to your opponent. If you find any Metal Special Energy cards there, this attack does 40 damage plus 30 more damage. Put all of those Energy cards on top of your deck. Shuffle your deck afterward.",R+40,4,3.53,5.78,9.59,3.7,,Reverse Holofoil,"[MMMM] Hard Metal (60+)
<br>
You may do 60 damage plus 40 more damage. If you do, Aggron does 40 damage to itself.",P-20
83489,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/83489_200w.jpg,3,1368,https://cpt.tcgcsv.com/PpH,2023-09-25T18:32:22.207,1,70/123,Common,Colorless,60,Basic,,[1] Tail Whap (10),F+10,1,0.09,0.25,9.99,0.22,,Normal,"[2] Throw Off
<br>
Choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> Before doing damage, discard all Pokémon Tool cards attached to that Pokémon.",
83489,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/83489_200w.jpg,3,1368,https://cpt.tcgcsv.com/PpH,2023-09-25T18:32:22.207,1,70/123,Common,Colorless,60,Basic,,[1] Tail Whap (10),F+10,1,0.69,1.2,4.5,1.17,,Reverse Holofoil,"[2] Throw Off
<br>
Choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> Before doing damage, discard all Pokémon Tool cards attached to that Pokémon.",
83501,Alakazam,Alakazam,https://tcgplayer-cdn.tcgplayer.com/product/83501_200w.jpg,3,1368,https://cpt.tcgcsv.com/2qH,2023-09-25T18:27:33.91,1,2/123,Holo Rare,Psychic,100,Stage 2,"<strong>Poké-POWER — Power Cancel</strong>
<br>
Once during your opponent's turn, when your opponent's Pokémon uses any Poké-Power, you may discard 2 cards from your hand and prevent all effects of that Poké-Power. (This counts as that Pokémon using its Poké-Power.) This power can't be used if Alakazam is affected by a Special Condition.","[1PP] Psychic Guard (50)
<br>
During your opponent's next turn, any damage done to Alakazam by your opponent's Stage 2 Evolved Pokémon is reduced by 30 <em>(after applying Weakness and Resistance)</em>.",P+30,1,20.25,37.22,151.28,35.45,,Holofoil,,
83501,Alakazam,Alakazam,https://tcgplayer-cdn.tcgplayer.com/product/83501_200w.jpg,3,1368,https://cpt.tcgcsv.com/2qH,2023-09-25T18:27:33.91,1,2/123,Holo Rare,Psychic,100,Stage 2,"<strong>Poké-POWER — Power Cancel</strong>
<br>
Once during your opponent's turn, when your opponent's Pokémon uses any Poké-Power, you may discard 2 cards from your hand and prevent all effects of that Poké-Power. (This counts as that Pokémon using its Poké-Power.) This power can't be used if Alakazam is affected by a Special Condition.","[1PP] Psychic Guard (50)
<br>
During your opponent's next turn, any damage done to Alakazam by your opponent's Stage 2 Evolved Pokémon is reduced by 30 <em>(after applying Weakness and Resistance)</em>.",P+30,1,14.57,24.0,24.99,22.5,,Reverse Holofoil,,
83526,Ambipom,Ambipom,https://tcgplayer-cdn.tcgplayer.com/product/83526_200w.jpg,3,1368,https://cpt.tcgcsv.com/xqH,2023-09-25T18:27:37.5,1,3/123,Holo Rare,Colorless,80,Stage 1,,"[2] Tail Influence (30)
<br>
Your opponent flips a coin until he or she gets heads. For each tails, remove an Energy from the Defending Pokémon and put it at the bottom of your opponent's deck.",F+20,1,2.1,2.75,11.28,3.03,2.1,Holofoil,"[2] Charity Tail (80)
<br>
Before Ambipom does damage, your opponent may discard 2 cards from his or her hand. If he or she does, this attack's base damage is 10 instead of 80.",
83526,Ambipom,Ambipom,https://tcgplayer-cdn.tcgplayer.com/product/83526_200w.jpg,3,1368,https://cpt.tcgcsv.com/xqH,2023-09-25T18:27:37.5,1,3/123,Holo Rare,Colorless,80,Stage 1,,"[2] Tail Influence (30)
<br>
Your opponent flips a coin until he or she gets heads. For each tails, remove an Energy from the Defending Pokémon and put it at the bottom of your opponent's deck.",F+20,1,1.5,2.48,4.44,2.15,,Reverse Holofoil,"[2] Charity Tail (80)
<br>
Before Ambipom does damage, your opponent may discard 2 cards from his or her hand. If he or she does, this attack's base damage is 10 instead of 80.",
83617,Ariados,Ariados,https://tcgplayer-cdn.tcgplayer.com/product/83617_200w.jpg,3,1368,https://cpt.tcgcsv.com/msH,2023-09-25T18:28:43.523,1,20/123,Rare,Grass,80,Stage 1,"<strong>Poké-BODY — Sticky</strong>
<br>
The Retreat Cost for each player's Pokémon (excluding Ariados) is 1 Colorless more.","[1G] Offensive Needle (20)
<br>
Flip a coin. if heads, the Defending Pokémon is now Poisoned. If tails, the Defending Pokémon is now Paralyzed.",R+20,1,0.14,0.44,1.99,0.5,,Normal,,
83617,Ariados,Ariados,https://tcgplayer-cdn.tcgplayer.com/product/83617_200w.jpg,3,1368,https://cpt.tcgcsv.com/msH,2023-09-25T18:28:43.523,1,20/123,Rare,Grass,80,Stage 1,"<strong>Poké-BODY — Sticky</strong>
<br>
The Retreat Cost for each player's Pokémon (excluding Ariados) is 1 Colorless more.","[1G] Offensive Needle (20)
<br>
Flip a coin. if heads, the Defending Pokémon is now Poisoned. If tails, the Defending Pokémon is now Paralyzed.",R+20,1,0.48,1.84,2.99,1.41,,Reverse Holofoil,,
83625,Armor Fossil,Armor Fossil,https://tcgplayer-cdn.tcgplayer.com/product/83625_200w.jpg,3,1368,https://cpt.tcgcsv.com/wsH,2022-12-08T18:54:18.743,1,116/123,Common,Trainer,50,,"Play Armor Fossil as if it were a Colorless Basic Pokémon. (Armor Fossil counts as a Trainer card as well, but if Armor Fossil is Knocked Out, this counts as a Knocked Out Pokémon.) Armor Fossil can't be affected by any Special Conditions and can't retreat. At any time during your turn before your attack, you may discard Armor Fossil from play. (This doesn't count as a Knocked Out Pokémon.)
<br>
<strong>Poké-BODY — Armor Stone</strong>
<br>
Whenever Armor Fossil would be damaged by your opponent's attack, flip a coin until you get tails. For each heads, reduce that damage by 10.",,,,0.02,0.23,3.5,0.2,,Normal,,
83625,Armor Fossil,Armor Fossil,https://tcgplayer-cdn.tcgplayer.com/product/83625_200w.jpg,3,1368,https://cpt.tcgcsv.com/wsH,2022-12-08T18:54:18.743,1,116/123,Common,Trainer,50,,"Play Armor Fossil as if it were a Colorless Basic Pokémon. (Armor Fossil counts as a Trainer card as well, but if Armor Fossil is Knocked Out, this counts as a Knocked Out Pokémon.) Armor Fossil can't be affected by any Special Conditions and can't retreat. At any time during your turn before your attack, you may discard Armor Fossil from play. (This doesn't count as a Knocked Out Pokémon.)
<br>
<strong>Poké-BODY — Armor Stone</strong>
<br>
Whenever Armor Fossil would be damaged by your opponent's attack, flip a coin until you get tails. For each heads, reduce that damage by 10.",,,,0.3,0.55,2.5,0.61,,Reverse Holofoil,,
83636,Aron,Aron,https://tcgplayer-cdn.tcgplayer.com/product/83636_200w.jpg,3,1368,https://cpt.tcgcsv.com/LsH,2023-09-25T18:32:24.88,1,71/123,Common,Metal,50,Basic,,"[1M] Steel Tackle (30)
<br>
Aron does 10 damage to itself.",R+10,2,2.1,3.0,5.0,3.11,,Normal,,P-20
83636,Aron,Aron,https://tcgplayer-cdn.tcgplayer.com/product/83636_200w.jpg,3,1368,https://cpt.tcgcsv.com/LsH,2023-09-25T18:32:24.88,1,71/123,Common,Metal,50,Basic,,"[1M] Steel Tackle (30)
<br>
Aron does 10 damage to itself.",R+10,2,6.99,503.5,1000.0,5.52,,Reverse Holofoil,,P-20
83674,Azelf,Azelf,https://tcgplayer-cdn.tcgplayer.com/product/83674_200w.jpg,3,1368,https://cpt.tcgcsv.com/vtH,2023-09-25T18:27:41.127,1,4/123,Holo Rare,Psychic,60,Basic,"<strong>Poké-BODY — Downer Material</strong>
<br>
If you have Uxie and Mesprit in play, the attack cost of each of your opponent's Basic Pokémon's attacks is 1 Colorless more. You can't use more than 1 Downer Material Poké-Body each turn.","[P] Bind Pulse (10)
<br>
During your opponent's next turn, your opponent can't attach any Special Energy cards from his or her hand to any of his or her Pokémon.",P+20,1,7.0,10.0,49.99,18.49,,Holofoil,,
83674,Azelf,Azelf,https://tcgplayer-cdn.tcgplayer.com/product/83674_200w.jpg,3,1368,https://cpt.tcgcsv.com/vtH,2023-09-25T18:27:41.127,1,4/123,Holo Rare,Psychic,60,Basic,"<strong>Poké-BODY — Downer Material</strong>
<br>
If you have Uxie and Mesprit in play, the attack cost of each of your opponent's Basic Pokémon's attacks is 1 Colorless more. You can't use more than 1 Downer Material Poké-Body each turn.","[P] Bind Pulse (10)
<br>
During your opponent's next turn, your opponent can't attach any Special Energy cards from his or her hand to any of his or her Pokémon.",P+20,1,8.99,14.65,49.98,15.0,,Reverse Holofoil,,
83729,Barboach,Barboach,https://tcgplayer-cdn.tcgplayer.com/product/83729_200w.jpg,3,1368,https://cpt.tcgcsv.com/CvH,2023-09-25T18:32:28.027,1,72/123,Common,Water,50,Basic,,"[F] Mud Spit
<br>
Flip a coin. If heads, this attack does 10 damage to each of your opponent's Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",G+10,1,0.06,0.25,1.49,0.28,0.3,Normal,,L-20
83729,Barboach,Barboach,https://tcgplayer-cdn.tcgplayer.com/product/83729_200w.jpg,3,1368,https://cpt.tcgcsv.com/CvH,2023-09-25T18:32:28.027,1,72/123,Common,Water,50,Basic,,"[F] Mud Spit
<br>
Flip a coin. If heads, this attack does 10 damage to each of your opponent's Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",G+10,1,0.47,1.25,2.56,1.09,,Reverse Holofoil,,L-20
83747,Bayleef,Bayleef,https://tcgplayer-cdn.tcgplayer.com/product/83747_200w.jpg,3,1368,https://cpt.tcgcsv.com/ZvH,2023-09-25T18:30:20.463,1,41/123,Uncommon,Grass,80,Stage 1,,"[1] Evolution Impulse
<br>
Search your deck for an Evolution card, show it to your opponent, and put it in your hand. Shuffle your deck afterward.",R+20,1,0.3,0.7,1.45,0.92,,Normal,"[1G] Leaf Boomerang (30x)
<br>
Flip 2 coins. This attack does 30 damage times the number of heads.",W-20
