productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extResistance,extCardText
83442,Abomasnow,Abomasnow,https://tcgplayer-cdn.tcgplayer.com/product/83442_200w.jpg,3,1370,https://cpt.tcgcsv.com/SnH,2023-01-09T21:16:43.107,1,26/101,Uncommon,Water,120,Stage 1,[GG] Razor Leaf (40),[1GG] Bang Heads (80) Both this Pokemon and the Defending Pokemon are now Confused.,Mx2,2,0.14,0.27,9.99,0.27,,Normal,,
83442,Abomasnow,Abomasnow,https://tcgplayer-cdn.tcgplayer.com/product/83442_200w.jpg,3,1370,https://cpt.tcgcsv.com/SnH,2023-01-09T21:16:43.107,1,26/101,Uncommon,Water,120,Stage 1,[GG] Razor Leaf (40),[1GG] Bang Heads (80) Both this Pokemon and the Defending Pokemon are now Confused.,Mx2,2,0.28,0.58,9.99,0.58,,Reverse Holofoil,,
83461,Accelgor (Team Plasma),Accelgor Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/83461_200w.jpg,3,1370,https://cpt.tcgcsv.com/fpH,2025-11-21T16:03:10.16,1,8/101,Rare,Grass,80,Stage 1,"[1] Retribution (20) If an Escavalier you had in play was Knocked Out by damage from an opponent's attack during his or her last turn, put all Energy attached to the Defending Pokemon into your opponent's hand.",[1G] Signal Beam (30) The Defending Pokemon is now confused.,Rx2,0,0.2,0.49,9.99,0.42,0.42,Normal,,
83461,Accelgor (Team Plasma),Accelgor Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/83461_200w.jpg,3,1370,https://cpt.tcgcsv.com/fpH,2025-11-21T16:03:10.16,1,8/101,Rare,Grass,80,Stage 1,"[1] Retribution (20) If an Escavalier you had in play was Knocked Out by damage from an opponent's attack during his or her last turn, put all Energy attached to the Defending Pokemon into your opponent's hand.",[1G] Signal Beam (30) The Defending Pokemon is now confused.,Rx2,0,0.3,0.71,9.99,0.82,0.5,Reverse Holofoil,,
83482,Aggron,Aggron,https://tcgplayer-cdn.tcgplayer.com/product/83482_200w.jpg,3,1370,https://cpt.tcgcsv.com/GpH,2023-01-09T21:25:06.883,1,59/101,Rare,Metal,140,Stage 2,[1M] Knock Back (50) Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon.,[2MM] Aura of the Land (80) Does 20 damage to each Benched Pokemon (both your and your opponent's).  (Don't apply Weakness and Resistance for Benched Pokemon.),Rx2,4,0.43,0.65,9.99,0.67,,Normal,P-20,
83482,Aggron,Aggron,https://tcgplayer-cdn.tcgplayer.com/product/83482_200w.jpg,3,1370,https://cpt.tcgcsv.com/GpH,2023-01-09T21:25:06.883,1,59/101,Rare,Metal,140,Stage 2,[1M] Knock Back (50) Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon.,[2MM] Aura of the Land (80) Does 20 damage to each Benched Pokemon (both your and your opponent's).  (Don't apply Weakness and Resistance for Benched Pokemon.),Rx2,4,1.28,1.79,4.49,1.93,,Reverse Holofoil,P-20,
83608,Archen,Archen,https://tcgplayer-cdn.tcgplayer.com/product/83608_200w.jpg,3,1370,https://cpt.tcgcsv.com/bsH,2025-11-21T16:15:48.53,1,53/101,Uncommon,Fighting,70,Restored,[2] Wing Attack (20),,Gx2,1,0.42,0.75,5.0,0.86,0.64,Normal,,"Prehistoric Call - Once during your turn (before your attack), if this Pokemon is in your discard pile, you may put this Pokemon on the bottom of your deck.  (Ability)"
83608,Archen,Archen,https://tcgplayer-cdn.tcgplayer.com/product/83608_200w.jpg,3,1370,https://cpt.tcgcsv.com/bsH,2025-11-21T16:15:48.53,1,53/101,Uncommon,Fighting,70,Restored,[2] Wing Attack (20),,Gx2,1,0.48,0.8,1.25,0.79,,Reverse Holofoil,,"Prehistoric Call - Once during your turn (before your attack), if this Pokemon is in your discard pile, you may put this Pokemon on the bottom of your deck.  (Ability)"
83611,Archeops,Archeops,https://tcgplayer-cdn.tcgplayer.com/product/83611_200w.jpg,3,1370,https://cpt.tcgcsv.com/fsH,2023-01-09T21:24:18.527,1,54/101,Holo Rare,Fighting,120,Stage 1,[F] Acrobatics (20+) Flip 2 coins.  This attack does 20 more damage for each heads.,"[FF] Swift Dive (100) If this Pokemon's remaining HP is 50 or less, this attack's base damage is 50.",Gx2,0,1.0,1.59,3.59,1.72,,Holofoil,,
83611,Archeops,Archeops,https://tcgplayer-cdn.tcgplayer.com/product/83611_200w.jpg,3,1370,https://cpt.tcgcsv.com/fsH,2023-01-09T21:24:18.527,1,54/101,Holo Rare,Fighting,120,Stage 1,[F] Acrobatics (20+) Flip 2 coins.  This attack does 20 more damage for each heads.,"[FF] Swift Dive (100) If this Pokemon's remaining HP is 50 or less, this attack's base damage is 50.",Gx2,0,1.0,2.38,6.35,2.36,,Reverse Holofoil,,
