productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack3
83450,Absol,Absol,https://tcgplayer-cdn.tcgplayer.com/product/83450_200w.jpg,3,1377,https://cpt.tcgcsv.com/0pH,2022-11-17T20:59:18.253,1,96/95,Secret Rare,Darkness,70,Basic,"[2] Quick Attack (10+) 
<br>Flip a coin.  If heads, this attack does 10 damage plus 10 more damage.","[1DD] Feint Attack 
<br>Choose 1 of your opponent's Pokemon.  This attack does 30 damage to that Pokemon.  This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies or any other effects on that Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",F,None,1,150.0,150.0,150.0,161.65,,Holofoil,,
83565,Aqua Energy,Aqua Energy,https://tcgplayer-cdn.tcgplayer.com/product/83565_200w.jpg,3,1377,https://cpt.tcgcsv.com/krH,2024-04-01T21:21:07.207,1,86/95,Uncommon,Special Multi Energy,,,,,,,,1.39,2.25,3.82,3.14,,Normal,"Aqua Energy can be attached only to a Pokemon with Team Aqua in its name.  Aqua Energy provides Water and Darkness Energy but provides 2 Energy at a time.  <em>(Doesn't count as a basic Energy card when not in play and has no effect other than providing Energy.)</em> At the end of your turn, discard Aqua Energy.",
83565,Aqua Energy,Aqua Energy,https://tcgplayer-cdn.tcgplayer.com/product/83565_200w.jpg,3,1377,https://cpt.tcgcsv.com/krH,2024-04-01T21:21:07.207,1,86/95,Uncommon,Special Multi Energy,,,,,,,,0.33,7.9,12.0,19.99,,Reverse Holofoil,"Aqua Energy can be attached only to a Pokemon with Team Aqua in its name.  Aqua Energy provides Water and Darkness Energy but provides 2 Energy at a time.  <em>(Doesn't count as a basic Energy card when not in play and has no effect other than providing Energy.)</em> At the end of your turn, discard Aqua Energy.",
83612,Archie,Archie,https://tcgplayer-cdn.tcgplayer.com/product/83612_200w.jpg,3,1377,https://cpt.tcgcsv.com/gsH,2024-04-01T21:21:07.6,1,71/95,Uncommon,Trainer - Supporter,,,,,,,,3.0,3.82,4.83,3.52,,Normal,"<em>You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.</em><br>
Search your deck for a Pokemon with Team Aqua in its name and put it onto your Bench.  Shuffle your deck afterward.  Treat the new Benched Pokemon as a Basic Pokemon.  If it is a Stage 2 Pokemon, put 2 damage counters on that Pokemon.",
83612,Archie,Archie,https://tcgplayer-cdn.tcgplayer.com/product/83612_200w.jpg,3,1377,https://cpt.tcgcsv.com/gsH,2024-04-01T21:21:07.6,1,71/95,Uncommon,Trainer - Supporter,,,,,,,,3.56,4.65,7.0,5.4,,Reverse Holofoil,"<em>You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.</em><br>
Search your deck for a Pokemon with Team Aqua in its name and put it onto your Bench.  Shuffle your deck afterward.  Treat the new Benched Pokemon as a Basic Pokemon.  If it is a Stage 2 Pokemon, put 2 damage counters on that Pokemon.",
83912,Blaziken ex,Blaziken ex,https://tcgplayer-cdn.tcgplayer.com/product/83912_200w.jpg,3,1377,https://cpt.tcgcsv.com/gBH,2024-04-01T21:21:03.937,1,89/95,Ultra Rare,Fire,150,Stage 2,"[1R] Blaze Kick (30+) 
<br>Flip a coin.  If heads, this attack does 30 damage plus 20 more damage.  If tails, this attack does 30 damage and the Defending Pokemon is now Burned.","[2RR] Volcanic Ash
<br>Discard 2 Fire Energy attached to Blaziken ex and then choose 1 of your opponent's Pokemon.  This attack does 100 damage to that Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",PW,None,2,120.0,172.5,500.0,183.34,,Holofoil,,
84028,Bulbasaur,Bulbasaur,https://tcgplayer-cdn.tcgplayer.com/product/84028_200w.jpg,3,1377,https://cpt.tcgcsv.com/BDH,2025-12-01T23:50:46.307,1,39/95,Common,Grass,50,Basic,"[1] Growth
<br>Attach a Grass Energy card from your hand to Bulbasaur.",[G] Razor Leaf (10),R,None,1,7.0,14.92,29.98,14.83,,Normal,,
84028,Bulbasaur,Bulbasaur,https://tcgplayer-cdn.tcgplayer.com/product/84028_200w.jpg,3,1377,https://cpt.tcgcsv.com/BDH,2025-12-01T23:50:46.307,1,39/95,Common,Grass,50,Basic,"[1] Growth
<br>Attach a Grass Energy card from your hand to Bulbasaur.",[G] Razor Leaf (10),R,None,1,125.0,125.0,125.0,47.34,,Reverse Holofoil,,
84457,Cradily ex,Cradily ex,https://tcgplayer-cdn.tcgplayer.com/product/84457_200w.jpg,3,1377,https://cpt.tcgcsv.com/9PH,2024-04-01T21:21:05.04,1,90/95,Ultra Rare,Grass,150,Stage 2,"[2] Eerie Light (30) 
<br>The Defending Pokemon is now Confused.","[2GG] Acidic Poison (60) 
<br>The Defending Pokemon is now Poisoned and Burned.",RW,None,2,75.0,75.99,82.5,87.49,,Holofoil,"<strong>Poké-BODY</strong> — Primal Vibes <br>
As long as Cradily ex is your Active Pokemon, your opponent can't play a Pokemon from his or her hand to evolve his or her Active Pokemon.",
84530,Cubone,Cubone,https://tcgplayer-cdn.tcgplayer.com/product/84530_200w.jpg,3,1377,https://cpt.tcgcsv.com/DQH,2024-04-01T21:20:59.193,1,40/95,Common,Fighting,50,Basic,"[F] Bone Attack (20) 
<br>Flip a coin.  If tails, this attack does nothing.",,G,None,1,6.3,6.3,6.3,3.97,,Normal,,
84895,Double Rainbow Energy,Double Rainbow Energy,https://tcgplayer-cdn.tcgplayer.com/product/84895_200w.jpg,3,1377,https://cpt.tcgcsv.com/WZH,2024-04-01T21:21:07.307,1,88/95,Rare,Special Rainbow Energy,,,,,,,,5.61,7.63,9.3,6.91,,Normal,"Double Rainbow Energy can be attached only to an Evolved Pokemon (excluding Pokemon-ex).  While in play, Double Rainbow Energy provides every type of Energy but provides 2 Energy at a time.  <em>(Doesn't count as a basic Energy when not in play and has no effect other than providing Energy.) </em>Damage done to your opponent's Pokemon by the Pokemon Double Rainbow Energy is attached to is reduced by 10<em> (after applying Weakness and Resistance).</em>  <br>
When the Pokemon Double Rainbow Energy is attached to is no longer an Evolved Pokemon, discard Double Rainbow Energy.",
84895,Double Rainbow Energy,Double Rainbow Energy,https://tcgplayer-cdn.tcgplayer.com/product/84895_200w.jpg,3,1377,https://cpt.tcgcsv.com/WZH,2024-04-01T21:21:07.307,1,88/95,Rare,Special Rainbow Energy,,,,,,,,12.7,18.09,49.95,15.99,,Reverse Holofoil,"Double Rainbow Energy can be attached only to an Evolved Pokemon (excluding Pokemon-ex).  While in play, Double Rainbow Energy provides every type of Energy but provides 2 Energy at a time.  <em>(Doesn't count as a basic Energy when not in play and has no effect other than providing Energy.) </em>Damage done to your opponent's Pokemon by the Pokemon Double Rainbow Energy is attached to is reduced by 10<em> (after applying Weakness and Resistance).</em>  <br>
When the Pokemon Double Rainbow Energy is attached to is no longer an Evolved Pokemon, discard Double Rainbow Energy.",
